Номер;Дата;Время;Схема;Широта;Номер ДТП;Вид ДТП;Адрес;Дорога;Значение дороги;Категория дороги;Категория улицы;Объекты УДС на месте ДТП;Объекты УДС на месте ДТП;Объекты УДС вблизи места ДТП;Объекты УДС вблизи места ДТП;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Недостатки транспортно-эксплуатационного содержания улично-дорожной сети;Факторы, оказывающие влияние на режим движения;Факторы, оказывающие влияние на режим движения;Состояние погоды;Состояние погоды;Состояние проезжей части;Освещение;Изменения в режиме движения;Количество ТС;Число участников;Число погибших;Число раненых;Номер Тс;Сведения об оставлении места ДТП;Расположение руля, тип привода;Тип ТС;Год выпуска;Марка/модель ТС;Форма собственности;Цвет;Места повреждения;Технические неисправности;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
;1;1;1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
;1;1;1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
;1;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2009;ГАЗ 3302, 33027 и модификации;Физические лица;;Технические неисправности отсутствуют;
;2;Осталось на месте ДТП;Иное расположение рулевого управления;Велосипеды;;Прочие марки ТС Прочие марки и модели ТС;Физические лица;;Технические неисправности отсутствуют;
;2;2;1;30.06.2020;15:00;060;61.520026;55.134218;750019690;Наезд на велосипедиста;Ленинский(Ч) район;;Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов);;Улицы и дороги местного значения в жилой застройке;Жилые дома индивидуальной застройки;;Перегон (нет объектов на месте ДТП);;Отсутствие, плохая различимость горизонтальной разметки проезжей части;;;Сведения отсутствуют;;Ясно;;Сухое;Светлое время суток;Движение частично перекрыто;
